Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
Burkina Faso,0,0,0,0,0,0,1,1
Chad,0,0,0,0,0,1,0,0
Falkland Islands (Malvinas),0,0,0,0,0,0,8,0
Nauru,5,0,0,0,0,0,0,0
Turkmenistan,0,5,0,0,0,0,0,0
Albania,0,0,1,0,4,1,0,0
Andorra,0,0,0,0,108,0,0,0
Azerbaijan,2,0,0,0,0,0,0,0
Argentina,22,8,0,0,0,0,0,0
Bahrain,2,0,0,0,0,0,0,0
Bangladesh,0,0,0,67,16,0,2,0
Myanmar,0,4,0,0,0,0,0,0
Belarus,0,0,0,8,0,0,1,0
Cameroon,8,1,0,0,0,1,2,0
Colombia,0,2,0,0,0,0,0,0
Congo,0,0,0,8,0,2,0,0
Croatia,0,3,0,0,2,0,0,0
Cyprus,0,0,0,0,0,0,13,0
Benin,0,0,0,2,0,0,0,0
Ecuador,0,7,0,0,0,0,0,0
El Salvador,0,0,0,1,0,0,0,0
Ethiopia,1,0,0,0,1,0,0,0
French Polynesia,0,0,0,0,0,0,1,0
Gabon,0,20,54,28,8,1,0,0
Gambia,0,0,0,0,0,0,5,0
Iceland,0,4,2,7,5,0,0,0
"Iran, Islamic Republic of",0,0,0,0,15,0,17,0
Jamaica,0,285,0,0,0,0,0,0
Liberia,0,0,0,13,0,0,0,0
Malawi,0,0,5,0,0,0,0,0
Mali,0,0,0,0,2,1,0,0
Malta,2,0,0,0,0,0,0,0
Mauritania,0,0,0,0,1,4,0,0
Mauritius,49,4,9,1,2,0,7,0
Mongolia,0,3,0,0,0,0,0,0
Montenegro,6,0,0,0,1,0,0,0
Montserrat,0,9,0,0,0,0,0,0
Mozambique,0,1,0,3,1,0,0,0
Oman,0,0,0,1,0,0,0,0
Namibia,0,16,0,2,0,0,0,0
Nicaragua,0,0,0,0,2,0,0,0
Niger,1,2,21,0,0,16,0,0
Norway,35,23,4,100,3,14,6,0
Panama,1,0,0,0,0,0,0,0
Qatar,0,5,0,1,1,0,0,0
Saudi Arabia,15,0,5,23,0,0,0,0
Senegal,0,47,0,0,0,0,0,0
Zimbabwe,0,0,0,0,0,32,0,0
Sudan,0,1,0,0,0,1,0,0
Suriname,0,3,0,0,0,0,0,0
Togo,72,8,0,0,17,0,15,0
Turks and Caicos Islands,0,4,0,0,2,0,6,0
Uruguay,60,0,0,0,0,0,0,0
HHI,0.265458732,0.281441862,0.232569516,0.345850515,0.277384983,0.329541755,0.25945344,0.372179037
